212.8.117.106,212.8.117.107,isp,ES,AS12338 
212.8.117.108,212.8.117.110,business,ES,AS12338 
212.8.117.111,212.8.117.115,isp,ES,AS12338 
212.8.117.116,212.8.117.119,business,ES,AS12338 
212.8.117.120,212.8.117.129,isp,ES,AS12338 
212.8.117.130,212.8.117.131,business,ES,AS12338 
212.8.117.132,212.8.117.132,isp,ES,AS12338 
212.8.117.133,212.8.117.133,business,ES,AS12338 
212.8.117.134,212.8.117.134,isp,ES,AS12338 
212.8.117.135,212.8.117.135,business,ES,AS12338 
212.8.117.136,212.8.117.137,isp,ES,AS12338 
212.8.117.138,212.8.117.139,business,ES,AS12338 
212.8.117.140,212.8.117.140,isp,ES,AS12338 
212.8.117.141,212.8.117.142,business,ES,AS12338 
212.8.117.143,212.8.117.145,isp,ES,AS12338 
212.8.117.146,212.8.117.146,education,ES,AS12338 
212.8.117.147,212.8.117.147,business,ES,AS12338 
212.8.117.148,212.8.117.149,isp,ES,AS12338 
212.8.117.150,212.8.117.150,business,ES,AS12338 
212.8.117.151,212.8.117.152,isp,ES,AS12338 
212.8.117.153,212.8.117.154,business,ES,AS12338 
212.8.117.155,212.8.117.155,isp,ES,AS12338 
212.8.117.156,212.8.117.156,business,ES,AS12338 
212.8.117.157,212.8.117.158,isp,ES,AS12338 
212.8.117.159,212.8.117.159,business,ES,AS12338 
212.8.117.160,212.8.117.160,isp,ES,AS12338 
212.8.117.161,212.8.117.162,business,ES,AS12338 
212.8.117.163,212.8.117.170,isp,ES,AS12338 
212.8.117.171,212.8.117.171,business,ES,AS12338 
212.8.117.172,212.8.117.172,isp,ES,AS12338 
212.8.117.173,212.8.117.174,business,ES,AS12338 
212.8.117.175,212.8.117.183,isp,ES,AS12338 
212.8.117.184,212.8.117.191,business,ES,AS12338 
212.8.117.192,212.8.117.203,isp,ES,AS12338 
212.8.117.204,212.8.117.207,business,ES,AS12338 
212.8.117.208,212.8.117.209,isp,ES,AS12338 
212.8.117.210,212.8.117.210,business,ES,AS12338 
212.8.117.211,212.8.117.221,isp,ES,AS12338 
212.8.117.222,212.8.117.222,business,ES,AS12338 
212.8.117.223,212.8.117.231,isp,ES,AS12338 
212.8.117.232,212.8.117.240,business,ES,AS12338 
212.8.117.241,212.8.117.242,isp,ES,AS12338 
212.8.117.243,212.8.117.243,business,ES,AS12338 
212.8.117.244,212.8.118.175,isp,ES,AS12338 
212.8.118.176,212.8.118.183,business,ES,AS12338 
212.8.118.184,212.8.118.187,isp,ES,AS12338 
212.8.118.188,212.8.118.191,business,ES,AS12338 
212.8.118.192,212.8.118.207,isp,ES,AS12338 
212.8.118.208,212.8.118.209,business,ES,AS12338 
212.8.118.210,212.8.118.210,isp,ES,AS12338 
212.8.118.211,212.8.118.211,business,ES,AS12338 
212.8.118.212,212.8.118.212,isp,ES,AS12338 
212.8.118.213,212.8.118.214,business,ES,AS12338 
212.8.118.215,212.8.118.215,isp,ES,AS12338 
212.8.118.216,212.8.118.218,business,ES,AS12338 
212.8.118.219,212.8.118.219,isp,ES,AS12338 
212.8.118.220,212.8.118.220,education,ES,AS12338 
212.8.118.221,212.8.118.227,isp,ES,AS12338 
212.8.118.228,212.8.118.231,business,ES,AS12338 
212.8.118.232,212.8.118.235,isp,ES,AS12338 
212.8.118.236,212.8.118.239,business,ES,AS12338 
212.8.118.240,212.8.118.243,isp,ES,AS12338 
212.8.118.244,212.8.118.247,business,ES,AS12338 
212.8.118.248,212.8.118.251,isp,ES,AS12338 
212.8.118.252,212.8.118.255,business,ES,AS12338 
212.8.119.0,212.8.119.12,isp,ES,AS12338 
212.8.119.13,212.8.119.13,business,ES,AS12338 
212.8.119.14,212.8.119.21,isp,ES,AS12338 
212.8.119.22,212.8.119.22,business,ES,AS12338 
212.8.119.23,212.8.119.26,isp,ES,AS12338 
212.8.119.27,212.8.119.27,business,ES,AS12338 
212.8.119.28,212.8.119.33,isp,ES,AS12338 
212.8.119.34,212.8.119.35,business,ES,AS12338 
212.8.119.36,212.8.119.59,isp,ES,AS12338 
212.8.119.60,212.8.119.75,business,ES,AS12338 
212.8.119.76,212.8.119.79,isp,ES,AS12338 
212.8.119.80,212.8.119.83,business,ES,AS12338 
212.8.119.84,212.8.119.155,isp,ES,AS12338 
212.8.119.156,212.8.119.159,business,ES,AS12338 
212.8.119.160,212.8.119.163,isp,ES,AS12338 
212.8.119.164,212.8.119.167,business,ES,AS12338 
212.8.119.168,212.8.119.175,isp,ES,AS12338 
212.8.119.176,212.8.119.183,business,ES,AS12338 
212.8.119.184,212.8.119.187,isp,ES,AS12338 
212.8.119.188,212.8.119.191,business,ES,AS12338 
212.8.119.192,212.8.119.204,isp,ES,AS12338 
212.8.119.205,212.8.119.205,business,ES,AS12338 
212.8.119.206,212.8.119.207,isp,ES,AS12338 
212.8.119.208,212.8.119.208,business,ES,AS12338 
212.8.119.209,212.8.119.211,isp,ES,AS12338 
212.8.119.212,212.8.119.212,business,ES,AS12338 
212.8.119.213,212.8.119.217,isp,ES,AS12338 
212.8.119.218,212.8.119.219,business,ES,AS12338 
212.8.119.220,212.8.119.226,isp,ES,AS12338 
212.8.119.227,212.8.119.229,business,ES,AS12338 
212.8.119.230,212.8.119.230,isp,ES,AS12338 
212.8.119.231,212.8.119.231,business,ES,AS12338 
212.8.119.232,212.8.119.232,isp,ES,AS12338 
212.8.119.233,212.8.119.233,business,ES,AS12338 
212.8.119.234,212.8.119.238,isp,ES,AS12338 
212.8.119.239,212.8.119.239,business,ES,AS12338 
212.8.119.240,212.8.119.246,isp,ES,AS12338 
212.8.119.247,212.8.119.248,business,ES,AS12338 
212.8.119.249,212.8.120.63,isp,ES,AS12338 
212.8.120.64,212.8.120.67,business,ES,AS12338 
212.8.120.68,212.8.120.71,isp,ES,AS12338 
212.8.120.72,212.8.120.79,business,ES,AS12338 
212.8.120.80,212.8.120.82,isp,ES,AS12338 
212.8.120.83,212.8.120.91,business,ES,AS12338 
212.8.120.92,212.8.120.95,isp,ES,AS12338 
212.8.120.96,212.8.120.103,business,ES,AS12338 
212.8.120.104,212.8.120.127,isp,ES,AS12338 
212.8.120.128,212.8.120.139,business,ES,AS12338 
212.8.120.140,212.8.120.143,isp,ES,AS12338 
212.8.120.144,212.8.120.183,business,ES,AS12338 
212.8.120.184,212.8.120.187,isp,ES,AS12338 
212.8.120.188,212.8.120.189,business,ES,AS12338 
212.8.120.190,212.8.120.195,isp,ES,AS12338 
212.8.120.196,212.8.120.199,business,ES,AS12338 
212.8.120.200,212.8.120.255,education,ES,AS12338 
212.8.121.0,212.8.121.15,isp,ES,AS12338 
212.8.121.16,212.8.121.63,business,ES,AS12338 
212.8.121.64,212.8.121.71,education,ES,AS12338 
212.8.121.72,212.8.121.255,business,ES,AS12338 
212.8.122.0,212.8.127.255,isp,ES,AS12338 
212.8.128.0,212.8.135.255,business,DE,AS8422 
212.8.136.0,212.8.151.255,isp,DE,AS8422 
