123.231.180.112,123.231.180.119,isp,ID 
123.231.180.120,123.231.180.135,business,ID 
123.231.180.136,123.231.180.143,isp,ID 
123.231.180.144,123.231.180.159,business,ID 
123.231.180.160,123.231.180.175,isp,ID 
123.231.180.176,123.231.180.239,business,ID 
123.231.180.240,123.231.181.75,isp,ID 
123.231.181.76,123.231.181.87,business,ID 
123.231.181.88,123.231.181.103,isp,ID 
123.231.181.104,123.231.181.111,business,ID 
123.231.181.112,123.231.181.119,isp,ID 
123.231.181.120,123.231.181.127,business,ID 
123.231.181.128,123.231.181.191,isp,ID 
123.231.181.192,123.231.181.199,business,ID 
123.231.181.200,123.231.181.223,isp,ID 
123.231.181.224,123.231.181.231,business,ID 
123.231.181.232,123.231.182.15,isp,ID 
123.231.182.16,123.231.182.215,business,ID 
123.231.182.216,123.231.182.223,isp,ID 
123.231.182.224,123.231.182.231,business,ID 
123.231.182.232,123.231.183.23,isp,ID 
123.231.183.24,123.231.183.27,business,ID 
123.231.183.28,123.231.183.171,isp,ID 
123.231.183.172,123.231.183.179,education,ID 
123.231.183.180,123.231.183.191,isp,ID 
123.231.183.192,123.231.183.199,business,ID 
123.231.183.200,123.231.183.207,isp,ID 
123.231.183.208,123.231.183.215,business,ID 
123.231.183.216,123.231.183.247,isp,ID 
123.231.183.248,123.231.184.127,business,ID 
123.231.184.128,123.231.184.135,isp,ID 
123.231.184.136,123.231.184.143,business,ID 
123.231.184.144,123.231.184.255,isp,ID 
123.231.185.0,123.231.185.3,business,ID 
123.231.185.4,123.231.185.247,isp,ID 
123.231.185.248,123.231.185.255,business,ID 
123.231.186.0,123.231.186.7,isp,ID 
123.231.186.8,123.231.186.15,business,ID 
123.231.186.16,123.231.186.31,isp,ID 
123.231.186.32,123.231.186.55,business,ID 
123.231.186.56,123.231.186.63,isp,ID 
123.231.186.64,123.231.186.127,business,ID 
123.231.186.128,123.231.186.135,isp,ID 
123.231.186.136,123.231.186.143,business,ID 
123.231.186.144,123.231.186.151,isp,ID 
123.231.186.152,123.231.186.175,business,ID 
123.231.186.176,123.231.186.183,isp,ID 
123.231.186.184,123.231.186.191,business,ID 
123.231.186.192,123.231.187.159,isp,ID 
123.231.187.160,123.231.187.163,business,ID 
123.231.187.164,123.231.187.255,isp,ID 
123.231.188.0,123.231.188.47,business,ID 
123.231.188.48,123.231.188.55,isp,ID 
123.231.188.56,123.231.188.95,business,ID 
123.231.188.96,123.231.188.103,isp,ID 
123.231.188.104,123.231.188.119,business,ID 
123.231.188.120,123.231.188.127,isp,ID 
123.231.188.128,123.231.188.135,business,ID 
123.231.188.136,123.231.188.151,isp,ID 
123.231.188.152,123.231.188.159,business,ID 
123.231.188.160,123.231.189.15,isp,ID 
123.231.189.16,123.231.189.71,business,ID 
123.231.189.72,123.231.189.79,isp,ID 
123.231.189.80,123.231.189.87,business,ID 
123.231.189.88,123.231.189.111,isp,ID 
123.231.189.112,123.231.189.119,business,ID 
123.231.189.120,123.231.189.127,isp,ID 
123.231.189.128,123.231.189.135,business,ID 
123.231.189.136,123.231.189.255,isp,ID 
123.231.190.0,123.231.190.3,business,ID 
123.231.190.4,123.231.190.155,isp,ID 
123.231.190.156,123.231.190.159,business,ID 
123.231.190.160,123.231.190.171,isp,ID 
123.231.190.172,123.231.190.175,business,ID 
123.231.190.176,123.231.190.251,isp,ID 
123.231.190.252,123.231.190.255,business,ID 
123.231.191.0,123.231.191.15,isp,ID 
123.231.191.16,123.231.191.23,business,ID 
123.231.191.24,123.231.191.31,isp,ID 
123.231.191.32,123.231.191.39,business,ID 
123.231.191.40,123.231.191.47,isp,ID 
123.231.191.48,123.231.191.55,business,ID 
123.231.191.56,123.231.191.159,isp,ID 
123.231.191.160,123.231.191.167,business,ID 
123.231.191.168,123.231.191.199,isp,ID 
123.231.191.200,123.231.191.207,business,ID 
123.231.191.208,123.231.194.255,isp,ID 
123.231.195.0,123.231.195.55,business,ID 
123.231.195.56,123.231.195.63,isp,ID 
123.231.195.64,123.231.195.71,business,ID 
123.231.195.72,123.231.195.79,isp,ID 
123.231.195.80,123.231.195.95,business,ID 
123.231.195.96,123.231.195.183,isp,ID 
123.231.195.184,123.231.195.191,business,ID 
123.231.195.192,123.231.195.231,isp,ID 
123.231.195.232,123.231.195.239,business,ID 
123.231.195.240,123.231.196.7,isp,ID 
123.231.196.8,123.231.196.71,business,ID 
123.231.196.72,123.231.196.103,isp,ID 
123.231.196.104,123.231.196.143,business,ID 
123.231.196.144,123.231.196.159,isp,ID 
123.231.196.160,123.231.196.179,business,ID 
123.231.196.180,123.231.196.183,isp,ID 
123.231.196.184,123.231.196.247,business,ID 
123.231.196.248,123.231.196.255,isp,ID 
123.231.197.0,123.231.197.255,business,ID 
123.231.198.0,123.231.199.7,isp,ID 
123.231.199.8,123.231.199.47,business,ID 
123.231.199.48,123.231.199.63,isp,ID 
123.231.199.64,123.231.199.143,business,ID 
123.231.199.144,123.231.199.175,isp,ID 
123.231.199.176,123.231.199.199,business,ID 
123.231.199.200,123.231.199.207,isp,ID 
123.231.199.208,123.231.199.215,business,ID 
123.231.199.216,123.231.200.255,isp,ID 
123.231.201.0,123.231.201.3,business,ID 
123.231.201.4,123.231.201.71,isp,ID 
123.231.201.72,123.231.201.79,business,ID 
123.231.201.80,123.231.201.87,isp,ID 
123.231.201.88,123.231.201.123,business,ID 
123.231.201.124,123.231.201.147,isp,ID 
123.231.201.148,123.231.201.151,business,ID 
123.231.201.152,123.231.201.159,isp,ID 
123.231.201.160,123.231.201.167,business,ID 
123.231.201.168,123.231.201.255,isp,ID 
123.231.202.0,123.231.202.15,business,ID 
123.231.202.16,123.231.202.31,isp,ID 
123.231.202.32,123.231.202.47,business,ID 
123.231.202.48,123.231.202.175,isp,ID 
123.231.202.176,123.231.202.181,business,ID 
123.231.202.182,123.231.202.255,isp,ID 
123.231.203.0,123.231.203.255,business,ID 
123.231.204.0,123.231.204.135,isp,ID 
123.231.204.136,123.231.204.143,business,ID 
123.231.204.144,123.231.204.255,isp,ID 
123.231.205.0,123.231.205.39,business,ID 
123.231.205.40,123.231.205.103,isp,ID 
123.231.205.104,123.231.205.111,business,ID 
123.231.205.112,123.231.205.199,isp,ID 
123.231.205.200,123.231.205.207,business,ID 
123.231.205.208,123.231.205.231,isp,ID 
123.231.205.232,123.231.205.239,business,ID 
123.231.205.240,123.231.206.255,isp,ID 
123.231.207.0,123.231.207.255,business,ID 
123.231.208.0,123.231.208.63,isp,ID 
123.231.208.64,123.231.208.71,business,ID 
123.231.208.72,123.231.208.79,isp,ID 
123.231.208.80,123.231.208.87,business,ID 
123.231.208.88,123.231.208.135,isp,ID 
123.231.208.136,123.231.208.143,business,ID 
123.231.208.144,123.231.208.167,isp,ID 
123.231.208.168,123.231.208.175,business,ID 
123.231.208.176,123.231.208.199,isp,ID 
123.231.208.200,123.231.208.215,business,ID 
123.231.208.216,123.231.208.255,isp,ID 
123.231.209.0,123.231.209.255,business,ID 
123.231.210.0,123.231.215.71,isp,ID 
123.231.215.72,123.231.215.79,business,ID 
123.231.215.80,123.231.215.103,isp,ID 
123.231.215.104,123.231.215.111,business,ID 
123.231.215.112,123.231.215.235,isp,ID 
123.231.215.236,123.231.215.239,business,ID 
123.231.215.240,123.231.216.39,isp,ID 
123.231.216.40,123.231.216.47,business,ID 
123.231.216.48,123.231.216.87,isp,ID 
123.231.216.88,123.231.216.95,business,ID 
123.231.216.96,123.231.216.119,isp,ID 
123.231.216.120,123.231.216.127,business,ID 
123.231.216.128,123.231.216.183,isp,ID 
123.231.216.184,123.231.216.191,business,ID 
123.231.216.192,123.231.216.199,isp,ID 
123.231.216.200,123.231.216.207,business,ID 
123.231.216.208,123.231.217.127,isp,ID 
123.231.217.128,123.231.217.135,business,ID 
123.231.217.136,123.231.217.199,isp,ID 
123.231.217.200,123.231.217.207,business,ID 
123.231.217.208,123.231.217.247,isp,ID 
123.231.217.248,123.231.217.251,business,ID 
123.231.217.252,123.231.218.87,isp,ID 
123.231.218.88,123.231.218.95,business,ID 
123.231.218.96,123.231.218.99,isp,ID 
123.231.218.100,123.231.218.107,business,ID 
123.231.218.108,123.231.218.143,isp,ID 
123.231.218.144,123.231.218.151,business,ID 
123.231.218.152,123.231.218.159,isp,ID 
123.231.218.160,123.231.218.163,education,ID 
123.231.218.164,123.231.219.63,isp,ID 
123.231.219.64,123.231.219.79,business,ID 
123.231.219.80,123.231.219.175,isp,ID 
123.231.219.176,123.231.219.183,business,ID 
123.231.219.184,123.231.219.199,isp,ID 
123.231.219.200,123.231.219.207,business,ID 
123.231.219.208,123.231.220.7,isp,ID 
123.231.220.8,123.231.220.11,business,ID 
123.231.220.12,123.231.220.51,isp,ID 
123.231.220.52,123.231.220.63,business,ID 
123.231.220.64,123.231.221.39,isp,ID 
123.231.221.40,123.231.221.55,business,ID 
123.231.221.56,123.231.221.79,isp,ID 
123.231.221.80,123.231.221.87,business,ID 
123.231.221.88,123.231.221.255,isp,ID 
123.231.222.0,123.231.222.7,business,ID 
123.231.222.8,123.231.222.15,isp,ID 
123.231.222.16,123.231.222.23,business,ID 
123.231.222.24,123.231.222.79,isp,ID 
123.231.222.80,123.231.222.87,business,ID 
123.231.222.88,123.231.222.95,isp,ID 
123.231.222.96,123.231.222.103,business,ID 
123.231.222.104,123.231.222.183,isp,ID 
123.231.222.184,123.231.222.191,business,ID 
123.231.222.192,123.231.224.255,isp,ID 
123.231.225.0,123.231.225.31,business,ID 
123.231.225.32,123.231.225.75,isp,ID 
123.231.225.76,123.231.225.79,business,ID 
123.231.225.80,123.231.225.91,isp,ID 
123.231.225.92,123.231.225.95,business,ID 
123.231.225.96,123.231.225.119,isp,ID 
123.231.225.120,123.231.225.127,business,ID 
123.231.225.128,123.231.225.191,isp,ID 
123.231.225.192,123.231.225.199,business,ID 
123.231.225.200,123.231.225.207,isp,ID 
123.231.225.208,123.231.225.215,business,ID 
123.231.225.216,123.231.226.219,isp,ID 
123.231.226.220,123.231.226.223,business,ID 
123.231.226.224,123.231.226.255,isp,ID 
123.231.227.0,123.231.227.15,business,ID 
123.231.227.16,123.231.227.95,isp,ID 
123.231.227.96,123.231.227.115,business,ID 
123.231.227.116,123.231.227.127,isp,ID 
123.231.227.128,123.231.227.135,business,ID 
123.231.227.136,123.231.227.207,isp,ID 
123.231.227.208,123.231.227.239,business,ID 
123.231.227.240,123.231.227.255,isp,ID 
123.231.228.0,123.231.228.3,business,ID 
123.231.228.4,123.231.228.7,isp,ID 
123.231.228.8,123.231.228.15,business,ID 
123.231.228.16,123.231.228.19,isp,ID 
123.231.228.20,123.231.228.23,business,ID 
123.231.228.24,123.231.228.43,isp,ID 
123.231.228.44,123.231.228.63,business,ID 
123.231.228.64,123.231.228.71,isp,ID 
123.231.228.72,123.231.228.99,business,ID 
123.231.228.100,123.231.228.103,isp,ID 
123.231.228.104,123.231.228.111,business,ID 
123.231.228.112,123.231.228.115,isp,ID 
123.231.228.116,123.231.228.119,business,ID 
123.231.228.120,123.231.228.139,isp,ID 
